alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	3333	3000	0.05	0	8	2.1200	0:00:02	9.98	21.16	2.79	3.31	0.00	0.00	69.36	1.97	ok	3333	3000	2999	0.00	SH	8	0	1	0	Zero	362	263	263	4064	4512	3276	4	667	253	0	1.50	0.62	0.53	0.13	0.36	0.00	0.13	132	99	352
cp-csh	synthetic	3333	3000	0.05	0	8	2.5087	0:00:02	9.95	21.12	2.78	3.31	0.00	0.00	61.39	2.03	ok	3333	3000	2999	0.00	GapSeed	8	0	1	0	Zero	375	288	288	3921	4340	3176	4	8	265	223	1.45	0.73	0.26	0.19	0.43	0.08	0.12	132	106	366
cp-sh	synthetic	1000	10000	0.05	0	8	2.2591	0:00:02	10.57	21.76	3.32	3.82	0.00	0.00	69.02	2.06	ok	1000	10000	9999	0.00	SH	8	0	1	0	Zero	1119	821	821	14046	15615	11260	13	3897	759	0	1.56	2.22	0.24	0.46	1.38	0.00	0.38	441	298	1057
cp-csh	synthetic	1000	10000	0.05	0	8	3.2012	0:00:03	10.67	21.74	3.39	3.91	0.00	0.00	75.89	2.90	ok	1000	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	1092	1092	13089	14491	10605	14	49	884	653	1.45	3.13	1.47	0.73	1.97	0.64	0.43	441	354	1219
cp-sh	synthetic	333	30000	0.05	0	8	3.5080	0:00:03	12.75	23.89	5.47	6.17	0.00	0.00	71.85	3.03	ok	333	30000	30001	0.00	SH	8	0	1	0	Zero	2673	2015	2015	51641	57461	40187	44	31023	1674	0	1.92	10.39	1.76	1.74	7.35	0.00	1.30	1323	658	2333
cp-csh	synthetic	333	30000	0.05	0	8	7.9235	0:00:07	12.19	23.45	5.03	5.72	0.00	0.00	89.99	7.61	ok	333	30000	30001	0.00	GapSeed	8	0	1	0	Zero	3750	4427	4427	39352	43573	31872	42	398	2651	1401	1.45	23.42	3.61	3.23	18.49	14.27	1.70	1323	1064	3656
cp-sh	synthetic	100	100000	0.05	0	8	100.1889	0:01:40	2717.42	2731.08	2710.41	2710.92	0.00	0.00	74.66	75.30	timeout 100s
cp-csh	synthetic	100	100000	0.05	0	8	10.4224	0:00:10	20.71	32.05	13.29	13.82	0.00	0.00	89.83	9.85	ok	13	100000	99983	0.00	GapSeed	8	0	1	0	Zero	12500	28169	28169	131376	145482	106417	140	17362	8842	2045	1.45	797.16	43.31	22.16	769.55	745.13	5.45	4407	3544	12183
cp-sh	synthetic	33	300000	0.05	0	8	20.0873	0:00:20	1026.05	1054.20	699.52	700.26	0.00	0.00	74.52	15.45	timeout 20s
cp-csh	synthetic	33	300000	0.05	0	8	20.0238	0:00:20	55.36	68.93	48.17	48.91	0.00	0.00	74.07	15.34	timeout 20s
cp-sh	synthetic	10	1000000	0.05	0	8	100.2113	0:01:40	2730.04	2742.20	2722.97	2723.47	0.00	0.00	74.00	74.68	timeout 100s
cp-csh	synthetic	10	1000000	0.05	0	8	100.0539	0:01:40	420.86	438.32	413.81	414.31	0.00	0.00	74.71	75.23	timeout 100s
cp-sh	synthetic	3	3000000	0.05	0	8	20.0901	0:00:20	1021.79	1076.17	1017.80	1019.04	0.00	0.00	74.72	15.51	timeout 20s
cp-csh	synthetic	3	3000000	0.05	0	8	20.2964	0:00:20	3100.34	3639.24	3138.48	3139.16	0.00	0.00	73.71	15.40	timeout 20s
cp-sh	synthetic	1	10000000	0.05	0	8	20.1026	0:00:20	1088.22	1176.57	1083.80	1084.56	0.00	0.00	74.63	15.50	timeout 20s
cp-csh	synthetic	1	10000000	0.05	0	8	101.1935	0:01:41	10684.03	12167.16	10677.18	10677.68	0.00	0.00	73.23	74.60	timeout 100s
cp-sh	synthetic	100000	100	0.05	0	9	2.1583	0:00:02	9.77	20.99	2.45	3.15	0.00	0.00	72.72	2.06	ok	100000	100	99	0.00	SH	9	0	1	0	Zero	10	7	7	132	146	108	0	1	7	0	1.47	0.02	0.03	0.01	0.01	0.00	0.00	4	4	11
cp-csh	synthetic	100000	100	0.05	0	9	2.5255	0:00:02	9.76	20.99	2.46	3.16	0.00	0.00	58.58	1.98	ok	100000	100	99	0.00	GapSeed	9	0	1	0	Zero	11	7	7	130	143	106	0	0	7	6	1.44	0.02	0.08	0.01	0.01	0.00	0.00	4	4	11
cp-sh	synthetic	33333	300	0.05	0	9	2.2193	0:00:02	9.79	20.99	2.54	3.09	0.00	0.00	68.16	1.99	ok	33333	300	300	0.00	SH	9	0	1	0	Zero	32	22	22	408	452	334	0	19	22	0	1.51	0.06	0.14	0.02	0.03	0.00	0.02	13	10	32
cp-csh	synthetic	33333	300	0.05	0	9	2.5619	0:00:02	9.64	20.99	2.51	3.05	0.00	0.00	59.39	2.01	ok	33333	300	300	0.00	GapSeed	9	0	1	0	Zero	33	22	22	399	441	327	0	0	22	19	1.47	0.07	0.14	0.02	0.04	0.01	0.02	13	11	32
cp-sh	synthetic	10000	1000	0.05	0	9	2.0930	0:00:02	9.82	20.99	2.64	3.36	0.00	0.00	49.22	1.54	ok	10000	1000	1000	0.00	SH	9	0	1	0	Zero	110	76	76	1378	1528	1127	1	142	74	0	1.53	0.20	0.02	0.04	0.11	0.00	0.05	44	34	109
cp-csh	synthetic	10000	1000	0.05	0	9	2.5846	0:00:02	9.77	20.99	2.54	3.25	0.00	0.00	60.34	2.03	ok	10000	1000	1000	0.00	GapSeed	9	0	1	0	Zero	111	76	76	1345	1488	1102	1	2	74	66	1.49	0.25	0.18	0.07	0.13	0.02	0.05	44	35	109
cp-sh	synthetic	3333	3000	0.05	0	9	2.0131	0:00:02	10.07	21.12	2.77	3.31	0.00	0.00	51.68	1.53	ok	3333	3000	2999	0.00	SH	9	0	1	0	Zero	330	228	228	4168	4622	3406	4	670	222	0	1.54	0.58	0.23	0.12	0.34	0.00	0.12	132	102	324
cp-csh	synthetic	3333	3000	0.05	0	9	2.2914	0:00:02	10.25	21.12	2.75	3.37	0.00	0.00	67.62	2.03	ok	3333	3000	2999	0.00	GapSeed	9	0	1	0	Zero	333	233	233	4056	4488	3323	4	9	225	198	1.50	0.67	0.36	0.15	0.40	0.06	0.12	132	105	327
