alg	cnt	n	e	r	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
csh	10	10000	0.16	2	9	0.1286	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	CSH	9	1	1	0	Zero	1111	5128	5128	28233	33417	19724	248	16998	834	0	3.34	11.34	0.43	3.94	6.87	2.65	0.53	1290	1087	1771
sh	10	10000	0.18	2	9	5.9821	0:00:05	95.28	106.46	87.93	88.99	0.00	0.00	85.25	5.58	ok	10	10000	9986	0.00	SH	9	1	1	0	Zero	1111	1057	1057	3093481	3156870	1432634	21191	926272	1485	222	315.69	596.55	80.80	2.93	592.56	0.00	1.06	1433	832	1247
csh	10	10000	0.18	2	9	0.1442	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9986	0.00	CSH	9	1	1	0	Zero	1111	4877	4877	34522	40734	23275	335	25073	792	0	4.07	12.91	0.50	3.67	8.85	3.08	0.39	1433	1187	1832
sh	10	10000	0.2	2	9	10.6495	0:00:10	165.35	190.55	158.14	159.51	0.00	0.00	91.36	10.21	ok	10	10000	9996	0.00	SH	9	1	1	0	Zero	1111	1047	1047	5179101	5273431	2382370	35935	1053548	1410	184	527.34	1063.38	63.10	2.82	1059.35	0.00	1.21	1571	882	1254
csh	10	10000	0.2	2	9	0.1708	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9996	0.00	CSH	9	1	1	0	Zero	1111	4649	4649	43782	51176	28450	466	38950	766	0	5.12	15.58	0.78	3.61	11.52	3.60	0.44	1571	1276	1876
sh	10	10000	0.22	2	9	15.4267	0:00:15	284.73	315.90	277.38	278.46	0.00	0.00	96.00	15.29	ok	10	10000	9990	0.00	SH	9	1	1	0	Zero	1111	1037	1037	7378394	7506778	3384472	53390	1082753	1322	160	750.68	1541.02	107.84	2.93	1536.85	0.00	1.24	1704	924	1272
csh	10	10000	0.22	2	9	0.2259	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9990	0.00	CSH	9	1	1	0	Zero	1111	4421	4421	62428	71677	38447	789	63721	744	0	7.17	21.06	2.41	3.50	17.00	4.40	0.56	1704	1357	1925
sh	10	10000	0.24	2	9	20.7968	0:00:20	221.38	315.82	214.09	215.48	0.00	0.00	71.40	15.34	ok	10	10000	10023	0.00	SH	9	1	1	0	Zero	1111	1039	1039	9730165	9895489	4454360	70187	1043509	1246	136	987.21	2078.08	91.00	2.77	2074.04	0.00	1.27	1840	948	1254
csh	10	10000	0.24	2	9	0.3208	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10023	0.00	CSH	9	1	1	0	Zero	1111	4334	4334	90288	101791	52995	1265	114367	739	0	10.16	30.64	3.71	3.23	26.92	5.91	0.49	1840	1431	1985
sh	10	10000	0.26	2	9	23.4016	0:00:23	221.12	232.30	213.86	215.22	0.00	0.00	63.33	15.31	ok	10	10000	10000	0.00	SH	9	1	1	0	Zero	1111	1022	1022	11381710	11573474	5196773	84946	1073175	1176	111	1157.27	2338.45	126.86	2.71	2334.46	0.00	1.28	1950	990	1271
csh	10	10000	0.26	2	9	0.4858	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	CSH	9	1	1	0	Zero	1111	4116	4116	141934	156395	78750	2214	200017	742	0	15.64	47.08	7.64	3.51	42.97	7.44	0.60	1950	1497	2032
sh	10	10000	0.28	2	9	29.7248	0:00:29	388.88	399.93	381.49	382.88	0.00	0.00	49.79	15.28	ok	10	10000	10015	0.00	SH	9	1	1	0	Zero	1111	1025	1025	13499413	13724072	6165222	101122	1069935	1148	96	1370.31	2970.94	170.82	2.61	2966.96	0.00	1.37	2070	1005	1270
csh	10	10000	0.28	2	9	1.1535	0:00:01	21.39	32.64	14.25	15.66	0.00	0.00	44.20	1.00	ok	10	10000	10015	0.00	CSH	9	1	1	0	Zero	1111	4068	4068	313610	334398	160507	5418	452261	803	0	33.39	113.83	41.39	3.51	109.50	13.66	0.82	2070	1553	2094
sh	10	10000	0.3	2	9	34.6568	0:00:34	408.71	567.88	401.46	402.81	0.00	0.00	42.87	15.34	ok	10	10000	10013	0.00	SH	9	1	1	0	Zero	1111	1014	1014	15306467	15563564	6988366	117907	1000464	1069	79	1554.29	3463.84	128.47	2.74	3459.73	0.00	1.36	2186	1042	1283
csh	10	10000	0.3	2	9	4.0572	0:00:04	52.63	63.99	45.47	46.86	0.00	0.00	75.43	3.55	ok	10	10000	10013	0.00	CSH	9	1	1	0	Zero	1111	3860	3860	1218583	1260546	575951	22538	1098304	806	0	125.89	403.98	121.93	3.56	399.40	23.61	1.02	2186	1622	2130
sh	10	10000	0.32	2	9	35.3214	0:00:35	389.00	400.12	381.67	382.74	0.00	0.00	41.93	15.29	ok	10	10000	9991	0.00	SH	9	1	1	0	Zero	1111	1007	1007	16817919	17103228	7678735	133716	1067411	1027	68	1710.32	3530.64	120.45	2.58	3526.71	0.00	1.35	2287	1066	1299
