alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	1000	10000	0.06	0	7	4.9792	0:00:04	11.47	22.69	4.27	4.95	4.73	0.00	84.39	4.71	ok	1000	10000	9999	0.00	SH	7	0	1	0	Zero	910	689	689	24376	27276	17470	31	18169	540	0	2.73	4.94	0.95	0.51	3.95	0.00	0.48	525	221	761
cp-csh	synthetic	1000	10000	0.06	0	7	8.4051	0:00:08	10.84	22.02	3.57	4.26	0.00	0.00	93.15	8.34	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1893	1893	13539	15226	10597	19	285	996	444	1.52	8.28	0.95	1.21	6.62	5.00	0.45	525	416	1369
cp-sh	synthetic	1000	10000	0.08	0	7	10.0228	0:00:10	20.26	31.82	13.39	14.05	0.75	0.00	93.97	9.93	ok	368	10000	10000	0.00	SH	7	0	1	0	Zero	944	665	665	105284	113360	59501	283	110602	478	0	11.34	27.13	14.25	0.57	25.83	0.00	0.73	690	279	757
cp-csh	synthetic	1000	10000	0.08	0	7	8.8534	0:00:08	10.79	21.97	3.54	4.26	0.00	0.00	93.06	8.76	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1786	1786	15838	18242	11922	35	1270	885	355	1.82	8.71	0.82	1.20	6.86	4.67	0.64	689	523	1368
cp-sh	synthetic	1000	10000	0.1	0	7	10.0634	0:00:10	94.01	105.36	87.02	87.70	0.00	0.00	92.54	9.82	ok	18	10000	9996	0.00	SH	7	0	1	0	Zero	972	645	645	1675620	1712582	775917	5683	833041	421	0	171.26	558.06	136.99	0.62	555.97	0.00	1.47	851	327	748
cp-csh	synthetic	1000	10000	0.1	0	7	10.0090	0:00:10	11.20	22.23	3.79	4.49	0.00	0.00	92.50	9.77	ok	1000	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	1694	1694	19591	22885	14068	59	5021	789	282	2.29	9.86	1.12	1.12	8.27	4.57	0.47	847	617	1367
cp-sh	synthetic	1000	10000	0.12	0	7	10.1736	0:00:10	136.11	189.09	128.64	129.33	0.00	0.00	91.78	9.87	ok	7	10000	9986	0.00	SH	7	0	1	0	Zero	996	619	619	3553475	3614319	1613858	12195	1190228	382	0	361.43	1450.06	188.87	0.69	1447.33	0.00	2.05	998	376	759
cp-csh	synthetic	1000	10000	0.12	0	7	10.0173	0:00:10	11.21	22.31	3.92	4.60	14.25	0.00	92.82	9.82	ok	807	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	1607	1607	26831	31369	18087	104	13252	705	225	3.14	12.27	1.20	1.11	10.44	4.49	0.72	1002	702	1366
cp-sh	synthetic	1000	10000	0.14	0	7	11.3169	0:00:11	135.98	147.26	128.86	129.52	0.00	0.00	92.08	10.93	ok	5	10000	9984	0.00	SH	7	0	1	0	Zero	1030	607	607	5794117	5883733	2606848	20517	1342421	343	0	588.37	2257.78	100.18	0.71	2255.01	0.00	2.07	1140	423	766
cp-csh	synthetic	1000	10000	0.14	0	7	10.0330	0:00:10	11.38	22.96	4.52	5.21	7.62	0.00	93.07	9.87	ok	537	10000	9998	0.00	GapSeed	7	0	1	0	Zero	1428	1530	1530	45492	52162	27942	218	35444	632	179	5.22	18.52	2.79	1.07	16.75	4.57	0.71	1151	776	1368
cp-sh	synthetic	1000	10000	0.01	0	8	1.6537	0:00:01	10.54	21.66	3.34	4.02	0.00	0.00	63.93	1.60	ok	1000	10000	10000	0.00	SH	8	0	1	0	Zero	1083	1015	1015	10527	10798	9098	0	262	1000	0	1.08	1.62	0.18	0.46	0.46	0.00	0.70	91	68	1069
cp-csh	synthetic	1000	10000	0.01	0	8	2.9006	0:00:02	10.71	21.73	3.25	3.93	0.00	0.00	71.58	2.59	ok	1000	10000	10000	0.00	GapSeed	8	0	1	0	Zero	1250	1361	1361	10454	10707	9022	0	0	1165	984	1.07	2.84	0.26	0.74	1.41	0.75	0.69	91	82	1225
cp-sh	synthetic	1000	10000	0.02	0	8	1.4517	0:00:01	10.50	21.75	3.35	4.05	0.00	0.00	35.16	1.03	ok	1000	10000	10000	0.00	SH	8	0	1	0	Zero	1093	961	961	11151	11710	9482	1	744	933	0	1.17	1.42	0.11	0.45	0.63	0.00	0.35	180	131	1065
cp-csh	synthetic	1000	10000	0.02	0	8	2.6113	0:00:02	10.47	21.67	3.32	4.01	0.00	0.00	78.91	2.57	ok	1000	10000	10000	0.00	GapSeed	8	0	1	0	Zero	1250	1287	1287	10967	11485	9330	2	1	1087	889	1.15	2.56	0.20	0.72	1.49	0.70	0.35	180	157	1224
cp-sh	synthetic	1000	10000	0.04	0	8	2.2714	0:00:02	10.75	21.76	3.31	4.00	0.00	0.00	69.08	2.09	ok	1000	10000	9999	0.00	SH	8	0	1	0	Zero	1110	864	864	12839	14039	10520	8	2470	812	0	1.40	2.24	0.22	0.45	1.04	0.00	0.75	355	246	1059
cp-csh	synthetic	1000	10000	0.04	0	8	2.9771	0:00:02	10.33	21.67	3.33	4.00	0.00	0.00	69.17	2.56	ok	1000	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	1153	1153	12248	13335	10098	9	19	946	723	1.33	2.92	0.27	0.69	1.64	0.63	0.60	355	293	1221
cp-sh	synthetic	1000	10000	0.06	0	8	2.6993	0:00:02	10.53	21.71	3.31	4.00	0.00	0.00	76.32	2.57	ok	1000	10000	9999	0.00	SH	8	0	1	0	Zero	1125	779	779	15712	17706	12268	19	5964	707	0	1.77	2.66	0.25	0.46	1.76	0.00	0.44	525	346	1054
cp-csh	synthetic	1000	10000	0.06	0	8	3.2402	0:00:03	10.70	21.90	3.41	4.09	0.00	0.00	79.58	3.08	ok	1000	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	1037	1037	14136	15880	11233	20	111	825	588	1.59	3.17	0.40	0.67	2.06	0.60	0.43	525	411	1218
cp-sh	synthetic	1000	10000	0.08	0	8	4.2771	0:00:04	10.92	21.96	3.54	4.21	0.00	0.00	84.15	4.10	ok	1000	10000	9999	0.00	SH	8	0	1	0	Zero	1138	704	704	21764	24889	15830	45	13779	617	0	2.49	4.23	0.50	0.47	3.31	0.00	0.46	689	434	1051
cp-csh	synthetic	1000	10000	0.08	0	8	3.8919	0:00:03	10.57	21.75	3.42	4.11	0.00	0.00	79.16	3.59	ok	1000	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	935	935	17282	19842	13115	39	520	721	479	1.98	3.83	0.34	0.63	2.50	0.57	0.70	689	513	1216
cp-sh	synthetic	1000	10000	0.1	0	8	9.5606	0:00:09	12.94	24.11	5.73	6.41	0.00	0.00	91.62	9.26	ok	1000	10000	10000	0.00	SH	8	0	1	0	Zero	1151	641	641	40488	45735	26157	125	37655	540	0	4.57	9.51	2.40	0.58	8.32	0.00	0.62	847	510	1050
cp-csh	synthetic	1000	10000	0.1	0	8	4.9877	0:00:04	11.27	22.15	3.80	4.51	0.00	0.00	83.29	4.67	ok	1000	10000	10000	0.00	GapSeed	8	0	1	0	Zero	1250	846	846	23482	27179	16732	72	2317	632	390	2.72	4.92	0.72	0.60	3.81	0.61	0.51	847	601	1216
cp-sh	synthetic	1000	10000	0.12	0	8	10.0261	0:00:10	21.05	31.86	13.43	14.15	0.00	0.00	93.77	9.92	ok	204	10000	10002	0.00	SH	8	0	1	0	Zero	1161	585	585	171317	183502	91180	732	178231	473	0	18.35	49.01	23.50	0.57	47.51	0.00	0.93	1001	575	1048
