alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.01	14	1	1.0	1.018	0.4818	0:00:00	2.82	7.10	0.04	0.37	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.01	1.127	0.2160	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.01	1.127	0.2119	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.4	1.124	0.2367	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.4	1.124	0.2474	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.8	1.124	0.2421	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	0.8	1.124	0.2363	0:00:00	2.82	7.10	0.04	0.35	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	1.0	1.123	0.2524	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	6	0	1.0	1.123	0.2507	0:00:00	2.79	7.10	0.04	0.35	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.01	1.133	0.2120	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.01	1.133	0.2037	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.4	1.130	0.2174	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.4	1.130	0.2170	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.8	1.130	0.2283	0:00:00	2.84	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	0.8	1.130	0.2505	0:00:00	2.81	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	1.0	1.130	0.2217	0:00:00	2.73	7.10	0.04	0.35	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	0	1.0	1.130	0.2259	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.01	1.142	0.1915	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.01	1.142	0.1936	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.4	1.138	0.2122	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.4	1.138	0.2068	0:00:00	2.73	7.10	0.45	0.55	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.8	1.137	0.2112	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	0.8	1.137	0.2098	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	1.0	1.137	0.2140	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	8	0	1.0	1.137	0.2070	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.01	1.148	0.1823	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.01	1.148	0.1829	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.4	1.145	0.1912	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.4	1.145	0.1859	0:00:00	2.73	7.10	0.45	0.60	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.8	1.144	0.2047	0:00:00	2.86	7.10	0.45	0.62	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	0.8	1.144	0.2262	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	1.0	1.144	0.1956	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	9	0	1.0	1.144	0.1982	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.01	1.154	0.1808	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.01	1.154	0.1846	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.4	1.152	0.2047	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.4	1.152	0.2073	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.8	1.151	0.2165	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	0.8	1.151	0.1963	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	1.0	1.151	0.2109	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	10	0	1.0	1.151	0.1875	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.01	1.163	0.1661	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.01	1.163	0.1620	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.4	1.160	0.1827	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.4	1.160	0.1867	0:00:00	2.80	7.10	0.46	0.58	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.8	1.159	0.1821	0:00:00	2.82	7.10	0.08	0.37	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	0.8	1.159	0.1830	0:00:00	1.26	6.97	0.27	0.36	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	1.0	1.158	0.1828	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	11	0	1.0	1.158	0.1803	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.01	1.210	0.1608	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.01	1.210	0.1663	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.4	1.206	0.1701	0:00:00	2.71	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.4	1.206	0.1890	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.8	1.202	0.1758	0:00:00	1.26	6.97	0.29	0.37	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	0.8	1.202	0.1712	0:00:00	2.72	7.10	0.04	0.36	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	1.0	1.199	0.1634	0:00:00	2.93	7.10	0.06	0.37	0.00	0.00	0.00	0.00
pa	10000	100	0.05	15	0	1.0	1.199	0.1571	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.01	1.231	0.1498	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.01	1.231	0.1568	0:00:00	2.85	7.10	0.45	0.57	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.4	1.230	0.1620	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.4	1.230	0.1580	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.8	1.228	0.1613	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	0.8	1.228	0.1611	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	1.0	1.228	0.1605	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	20	0	1.0	1.228	0.1592	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	0.01	1.369	0.3609	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	0.01	1.369	0.3482	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	0.4	1.368	0.3310	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	0.4	1.368	0.3746	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	0.8	1.365	0.3581	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
